,0,1,2,3,4,5,6
0,-1.700484,-1.616986,-1.633343,-1.548495,-1.525489,-1.431965,-1.578383
1,-1.700809,-1.573238,-1.596986,-1.616011,-1.557322,-1.522845,-1.654069
2,-1.619784,-1.607638,-1.500373,-1.606018,-1.503545,-1.564237,-1.638526
3,-1.703418,-1.652352,-1.512539,-1.693231,-1.469525,-1.544391,-1.650286
4,-1.627395,-1.574821,-1.406126,-1.650595,-1.406748,-1.603579,-1.614338
5,-1.61154,-1.470813,-1.509968,-1.680461,-1.509037,-1.632341,-1.631403
6,-1.544277,-1.565448,-1.598023,-1.703868,-1.583992,-1.622745,-1.529268
7,-1.660814,-1.579751,-1.336855,-1.615521,-1.57651,-1.673673,-1.518676
8,-1.684551,-1.611545,-1.182756,-1.584366,-1.572965,-1.547643,-1.603811
9,-1.63435,-1.540899,-1.336592,-1.575275,-1.458024,-1.554115,-1.659994
