,0,1,2,3,4,5,6
0,-1.364024899,-1.317652015,-1.323730481,-1.145437318,-1.080673061,-1.021624442,-1.29942
1,-1.240511057,-1.288238206,-1.335665843,-1.119823185,-1.197798313,-1.095857183,-1.3193
2,-1.241824965,-1.286100105,-1.076587637,-1.115344403,-1.187600525,-1.257180939,-1.234719
3,-1.387864126,-1.484979831,-1.220063064,-1.199313243,-1.1469193,-1.149691154,-1.380535
4,-1.27540739,-1.273743364,-1.175122664,-1.265689549,-1.021390915,-1.29961111,-1.254552
5,-1.263282425,-1.171408319,-1.314220558,-1.389694748,-1.186417384,-1.278124613,-1.234629
6,-1.214149871,-1.322764069,-1.436808906,-1.362534256,-1.273510761,-1.166911131,-1.140377
7,-1.350518472,-1.226442231,-1.09397782,-1.124144482,-1.258059577,-1.398437473,-1.207938
8,-1.339017778,-1.252688721,-0.778357562,-1.195719471,-1.252903018,-1.102464918,-1.216756
9,-1.252612171,-1.275038349,-1.047738018,-1.085751317,-1.221812421,-1.127749404,-1.282091
