,0,1,2,3,4,5,6
0,-1.628141,-1.630439,-1.608551,-1.596221,-1.446209,-1.247408,-1.568463
1,-1.684221,-1.591566,-1.548926,-1.580009,-1.49556,-1.46238,-1.614486
2,-1.683028,-1.652939,-1.414987,-1.618549,-1.463603,-1.496167,-1.631747
3,-1.614556,-1.654953,-1.480243,-1.64556,-1.426848,-1.438895,-1.634021
4,-1.581505,-1.603365,-1.501206,-1.613038,-1.375469,-1.529588,-1.592035
5,-1.566194,-1.463969,-1.6679,-1.63091,-1.47625,-1.588251,-1.628097
6,-1.533575,-1.543626,-1.667393,-1.63421,-1.547087,-1.544524,-1.54881
7,-1.620025,-1.569695,-1.374933,-1.471014,-1.518523,-1.627042,-1.521395
8,-1.649976,-1.609452,-1.251629,-1.478803,-1.466148,-1.523825,-1.534333
9,-1.588306,-1.54247,-1.37,-1.593649,-1.413971,-1.480664,-1.593844
