,0,1,2,3,4,5,6
0,-1.649074,-1.588486,-1.594877,-1.603474,-1.412299,-1.348607,-1.540802
1,-1.651993,-1.531296,-1.56596,-1.606885,-1.496057,-1.486592,-1.582311
2,-1.682823,-1.534223,-1.417786,-1.640332,-1.426651,-1.514167,-1.575577
3,-1.664751,-1.608453,-1.487647,-1.687981,-1.395809,-1.428479,-1.592186
4,-1.582544,-1.528919,-1.442239,-1.648073,-1.338202,-1.524691,-1.589988
5,-1.558965,-1.486672,-1.535553,-1.662573,-1.482831,-1.600258,-1.58432
6,-1.463376,-1.520468,-1.640368,-1.676431,-1.57557,-1.584893,-1.492084
7,-1.625786,-1.547319,-1.401488,-1.552635,-1.530124,-1.65736,-1.494579
8,-1.662746,-1.576273,-1.348894,-1.527918,-1.500267,-1.510336,-1.483786
9,-1.598228,-1.487132,-1.439592,-1.566404,-1.403032,-1.496986,-1.554804
