0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.02567,0.0,0.0,0.0,1.75738,0.0,0.0,0.0,0.0
0.0,0.0,1.60363,0.0,0.0,0.0,1.85712,0.0,0.0,0.0,0.0
2.4054,1.79633,1.43288,1.81479,2.08504,2.20219,1.04212,0.0,1.78801,0.0,0.0
0.0,0.0,2.37089,0.0,2.14719,0.0,2.02889,0.0,1.07074,0.0,0.0
1.92044,1.17691,2.35418,2.66463,1.22776,1.91404,1.73775,1.85826,0.77586,0.0,0.0
0.0,0.0,1.8113,0.0,2.55908,0.0,3.65927,0.0,1.30721,0.0,0.0
0.0,0.0,1.45209,2.29183,2.61617,4.63963,2.78472,3.11203,1.24166,1.72384,1.48982
0.0,0.0,1.42268,0.0,2.20294,0.0,2.86208,0.0,0.0,0.0,0.0
2.07296,2.095,1.9688,2.16526,2.63702,2.45766,3.51306,4.3153,1.7818,0.0,0.0
0.0,0.0,0.0,0.0,2.05247,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.07598,0.0,0.0,0.0,0.0,0.0,0.0
