,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.52016,0,0,0,0.24177,0,0,0,0
1,0,0,0.72884,0,0,0,0.26761,0,0,0,0
2,0.52016,0.72884,1.06152,0.72226,0.51393,0.39674,0.33002,0,0.24295,0,0
3,0,0,1.63818,0,0.72068,0,0.42285,0,0.27393,0,0
4,1.06991,1.64446,2.61612,1.65184,1.05075,0.74844,0.57704,0.40765,0.33477,0,0
5,0,0,2.30692,0,1.65479,0,0.74866,0,0.40862,0,0
6,0,0,2.60896,1.66215,1.14549,0.68579,0.54748,0.4674,0.36768,0.28592,0.24077
7,0,0,1.65336,0,0.75716,0,0.26743,0,0,0,0
8,0.52061,0.73218,1.07577,0.73066,0.4933,0.31894,0.1,0.18912,0.23806,0,0
9,0,0,0,0,0.39991,0,0,0,0,0,0
10,0,0,0,0,0.31728,0,0,0,0,0,0
