,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.82193,0,0,0,0.54351,0,0,0,0
1,0,0,1.03119,0,0,0,0.56727,0,0,0,0
2,0.82264,1.03438,1.36651,1.02456,0.82343,0.7136,0.64332,0,0.54474,0,0
3,0,0,1.94105,0,1.02701,0,0.7347,0,0.57576,0,0
4,1.37243,1.94648,2.62113,1.96257,1.35661,1.05906,0.88658,0.71749,0.64338,0,0
5,0,0,3.46954,0,1.96496,0,1.01647,0,0.71643,0,0
6,0,0,2.89466,1.95936,1.45437,1.02089,0.88105,0.77605,0.66506,0.56674,0.53581
7,0,0,1.93936,0,1.05941,0,0.58467,0,0,0,0
8,0.82232,1.03394,1.37316,1.03201,0.79267,0.60375,0.35479,0.46796,0.53684,0,0
9,0,0,0,0,0.70172,0,0,0,0,0,0
10,0,0,0,0,0.61888,0,0,0,0,0,0
