,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.5018,0,0,0,0.50561,0,0,0,0
1,0,0,2.4723,0,0,0,2.47798,0,0,0,0
2,0.50657,0.53498,0.53769,0.50317,0.56948,0.56746,0.5712,0,0.50066,0,0
3,0,0,0.49894,0,2.54367,0,0.55835,0,2.4632,0,0
4,0.51151,0.52546,0.4569,0.59058,0.6583,0.61035,0.63197,0.55222,0.53526,0,0
5,0,0,0.36225,0,0.63265,0,2.42412,0,0.5152,0,0
6,0,0,0.41852,0.48603,0.62666,0.45307,0.59493,0.56223,0.48478,2.41065,0.47186
7,0,0,2.41924,0,0.51828,0,0.35243,0,0,0,0
8,0.49992,0.50072,0.4662,0.47109,0.39537,0.3334,0.1,0.34958,0.49023,0,0
9,0,0,0,0,0.49981,0,0,0,0,0,0
10,0,0,0,0,0.4992,0,0,0,0,0,0
