,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.35,0,0,0,0.35384,0,0,0,0
1,0,0,2.31159,0,0,0,2.32786,0,0,0,0
2,0.35014,0.35389,0.32518,0.33212,0.39269,0.38854,0.39677,0,0.34894,0,0
3,0,0,0.32734,0,2.37893,0,0.38119,0,2.30779,0,0
4,0.355,0.37511,0.315,0.38306,0.46048,0.38806,0.39944,0.36619,0.36,0,0
5,0,0,0.30219,0,0.40352,0,2.30198,0,0.36431,0,0
6,0,0,0.33235,0.34904,0.38347,0.32506,0.39008,0.37416,0.37093,2.31044,0.34539
7,0,0,2.29611,0,0.34668,0,0.28837,0,0,0,0
8,0.34981,0.35054,0.33652,0.33799,0.29345,0.25374,0.1,0.24739,0.34293,0,0
9,0,0,0,0,0.34952,0,0,0,0,0,0
10,0,0,0,0,0.34924,0,0,0,0,0,0
