,0,1,2,3,4,5,6,7,8,9,10
0,0,0,2.50068,0,0,0,1.7982,0,0,0,0
1,0,0,2.12307,0,0,0,1.53953,0,0,0,0
2,2.50165,2.12926,1.74295,1.47249,1.40972,1.25219,1.40359,0,1.79838,0,0
3,0,0,1.49736,0,1.32027,0,1.22843,0,1.55374,0,0
4,1.79358,1.48817,1.29252,1.33834,1.12461,1.08293,1.2449,1.26251,1.41002,0,0
5,0,0,0.98728,0,1.09081,0,0.80256,0,1.16945,0,0
6,0,0,0.91993,0.84702,0.81215,0.3147,0.84544,0.95785,0.94778,1.01037,1.23457
7,0,0,1.08733,0,0.95268,0,0.8013,0,0,0,0
8,1.79152,1.53275,1.27168,1.12398,0.95591,0.74982,0.45346,0.84589,1.30079,0,0
9,0,0,0,0,1.16295,0,0,0,0,0,0
10,0,0,0,0,1.3175,0,0,0,0,0,0
