,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.14304,0,0,0,0.31336,0,0,0,0
1,0,0,0.15257,0,0,0,0.43058,0,0,0,0
2,0.14384,0.1556,0.15597,0.20942,0.32648,0.44915,0.63432,0,0.31353,0,0
3,0,0,0.21385,0,0.40002,0,0.98694,0,0.43917,0,0
4,0.18485,0.22911,0.29069,0.444,0.62332,1.00234,1.53928,0.98168,0.64222,0,0
5,0,0,0.41194,0,1.00223,0,2.41644,0,0.9609,0,0
6,0,0,0.62128,0.97437,1.52455,2.44447,2.72352,2.19495,1.54191,1.05794,0.71615
7,0,0,0.43159,0,1.00119,0,2.56653,0,0,0,0
8,0.19019,0.2359,0.30801,0.42994,0.64472,0.99565,1.55861,0.98791,0.64855,0,0
9,0,0,0,0,0.43747,0,0,0,0,0,0
10,0,0,0,0,0.30708,0,0,0,0,0,0
