0,1,2,3,4,5,6,7,8,9,10
0,0,0.948910541,0,0,0,1.000740218,0,0,0,0
0,0,0.789881796,0,0,0,1.161341063,0,0,0,0
1.163013198,1.812801968,2.824260723,2.254359208,2.614379244,1.249692223,2.17474756,0,1.543954115,0,0
0,0,1.379994212,0,1.665765578,0,2.065443187,0,3.180136343,0,0
0.778223745,1.112888211,2.954200199,2.144863668,3.682728022,2.41353376,3.571214776,2.033888419,3.127854619,0,0
0,0,3.367824487,0,2.660227061,0,2.483655886,0,2.212877679,0,0
0,0,3.416974119,1.794634329,3.547360871,2.009324368,3.994771685,2.169347967,3.358656665,2.163773977,1.460231692
0,0,2.532052503,0,2.344842559,0,2.287400263,0,0,0,0
0.502292005,1.106247188,1.836693876,2.014973707,3.473299509,2.442545013,2.621207374,1.522686556,0.874946825,0,0
0,0,0,0,1.862701868,0,0,0,0,0,0
0,0,0,0,0.672483933,0,0,0,0,0,0
