0,1,2,3,4,5,6,7,8,9,10
0,0,0.925249086,0,0,0,0.576240393,0,0,0,0
0,0,0.529296016,0,0,0,1.57895795,0,0,0,0
0.695298654,2.085008257,2.318213191,1.183544564,1.358959129,0.684198612,1.829774209,0,1.379371533,0,0
0,0,1.106377335,0,0.773662072,0,1.447284292,0,2.386251075,0,0
0.163237469,1.131026296,3.133129703,1.509604412,2.415015978,1.496769355,2.52188794,1.140819962,2.133627689,0,0
0,0,3.297200628,0,1.676663871,0,1.701014884,0,1.360578132,0,0
0,0,1.083452086,1.457346639,2.33243719,1.382847868,2.72586509,1.737141171,2.47784918,2.084344041,1.511077745
0,0,1.894403963,0,1.83821865,0,1.832067548,0,0,0,0
0.946582813,1.184933888,1.681263539,1.642129288,2.360457889,1.57528726,2.393396016,1.934630992,0.845127491,0,0
0,0,0,0,1.555220595,0,0,0,0,0,0
0,0,0,0,1.192203531,0,0,0,0,0,0
